619899542 function calls (619590250 primitive calls) in 289.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  339.806  339.806 perf.py:9(main)
        1    0.000    0.000  339.805  339.805 game_controller.py:31(play)
        1    0.000    0.000  339.805  339.805 game_controller.py:60(_play_ai)
        2    0.000    0.000  339.799  169.899 game_controller.py:89(_handle_ai_move)
        2    0.000    0.000  339.798  169.899 ai.py:40(get_best_move)
        2    0.001    0.000  339.786  169.893 ai.py:49(_get_move_scores)
309231/50    0.801    0.000  339.784    6.796 ai.py:60(_minimax)
   283322    0.297    0.000  168.231    0.001 engine.py:820(evaluate)
    18752    0.018    0.000  163.896    0.009 rules.py:51(get_legal_moves)
    18752    0.374    0.000  147.840    0.008 rules.py:65(_get_legal_candidate_moves)
 94495862   90.206    0.000  147.828    0.000 board.py:403(get_piece)
   667334    0.642    0.000  147.338    0.000 rules.py:57(is_in_check_after_move)
   667343    0.566    0.000  133.312    0.000 rules.py:11(is_in_check)
   667343    0.698    0.000  131.509    0.000 board.py:619(is_attacking)
   667343    1.725    0.000  130.070    0.000 board.py:522(get_attacker_coordinates)
 62514203   18.226    0.000  112.408    0.000 board.py:467(is_occupied)
   283322   17.028    0.000   95.532    0.000 engine.py:855(_get_positional_score)
  2002029   20.293    0.000   78.683    0.000 move_strategies.py:95(get_attacker_coordinates)
   283322   15.216    0.000   72.401    0.000 engine.py:834(_get_material_score)
  1334686   11.417    0.000   42.130    0.000 move_strategies.py:186(get_attacker_coordinates)
 98534633   23.297    0.000   31.274    0.000 board.py:633(_get_board_offset)
 32327244   18.233    0.000   24.902    0.000 board_utils.py:12(is_coordinate_in_bounds)
  3906268    3.328    0.000   16.648    0.000 board.py:448(set_piece)
    18752    1.232    0.000   16.038    0.001 board.py:597(get_candidate_moves)
   283322    3.248    0.000   15.119    0.000 engine.py:895(_is_in_endgame)
 16083280    5.798    0.000   11.939    0.000 {built-in method builtins.isinstance}
   976565    0.902    0.000   10.283    0.000 board.py:479(undo_move)
   976569    0.815    0.000    9.789    0.000 board.py:472(make_move)
 20777008    4.574    0.000    8.705    0.000 <frozen abc>:117(__instancecheck__)
105106411    8.546    0.000    8.546    0.000 board.py:356(size)
   667343    2.125    0.000    7.532    0.000 move_strategies.py:281(get_attacker_coordinates)
 56189254    6.669    0.000    6.669    0.000 board_utils.py:6(is_index_in_bounds)
  9040080    5.106    0.000    6.253    0.000 engine.py:879(_get_placement_score_middlegame)
  1979934    2.965    0.000    5.529    0.000 board.py:659(_set_position_bit)
  3906268    4.908    0.000    4.908    0.000 board.py:637(_clear_position_bit)
    93641    1.234    0.000    4.714    0.000 move_strategies.py:127(get_candidate_moves)
 31669706    4.359    0.000    4.359    0.000 pieces.py:54(__post_init__)
 20777008    4.132    0.000    4.132    0.000 {built-in method _abc._abc_instancecheck}
   149521    0.207    0.000    3.924    0.000 move_strategies.py:346(get_candidate_moves)
    56246    0.644    0.000    2.259    0.000 move_strategies.py:213(get_candidate_moves)
   149521    0.560    0.000    2.029    0.000 move_strategies.py:361(_get_candidate_forward_moves)
   149521    0.426    0.000    1.551    0.000 move_strategies.py:418(_get_candidate_captures)
  9806235    1.384    0.000    1.384    0.000 pieces.py:74(__post_init__)
  2608347    0.846    0.000    1.220    0.000 <string>:2(__init__)
  9040080    1.148    0.000    1.148    0.000 board_utils.py:26(get_board_index)
   667343    0.638    0.000    1.113    0.000 board.py:459(get_king_coordinate)
  6757274    0.960    0.000    0.960    0.000 pieces.py:64(__post_init__)
  6342126    0.907    0.000    0.907    0.000 pieces.py:94(__post_init__)
  5541830    0.793    0.000    0.793    0.000 pieces.py:84(__post_init__)
   862182    0.370    0.000    0.494    0.000 move.py:19(__post_init__)
  2608347    0.375    0.000    0.375    0.000 pieces.py:104(__post_init__)
  1335435    0.248    0.000    0.248    0.000 {method 'append' of 'list' objects}
  1080578    0.225    0.000    0.225    0.000 <string>:8(__eq__)
   976583    0.182    0.000    0.182    0.000 color.py:11(opposite)
   966387    0.174    0.000    0.174    0.000 move_strategies.py:253(get_forward_row_delta)
