730048278 function calls (729822249 primitive calls) in 219.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  219.424  219.424 perf.py:9(main)
        1    0.000    0.000  219.424  219.424 game_controller.py:31(play)
        1    0.000    0.000  219.424  219.424 game_controller.py:60(_play_ai)
        2    0.000    0.000  219.418  109.709 game_controller.py:89(_handle_ai_move)
        2    0.000    0.000  219.418  109.709 ai.py:40(get_best_move)
        2    0.000    0.000  219.407  109.703 ai.py:49(_get_move_scores)
225965/47    0.559    0.000  219.405    4.668 ai.py:60(_minimax)
    13677    0.012    0.000  129.044    0.009 rules.py:51(get_legal_moves)
    13677    0.259    0.000  119.085    0.009 rules.py:65(_get_legal_candidate_moves)
   486765    0.578    0.000  118.740    0.000 rules.py:57(is_in_check_after_move)
   486774    0.389    0.000  108.133    0.000 rules.py:11(is_in_check)
   486774    0.485    0.000  107.579    0.000 board.py:237(is_attacking)
   486774    1.138    0.000  106.326    0.000 board.py:140(get_attacker_coordinates)
   206678    0.184    0.000   81.285    0.000 engine.py:147(evaluate)
  1460322   24.611    0.000   64.962    0.000 move_strategies.py:103(get_attacker_coordinates)
 71279674   18.681    0.000   55.691    0.000 board.py:62(get_piece)
 47157857   12.804    0.000   49.951    0.000 board.py:82(is_occupied)
   206678   10.844    0.000   47.203    0.000 engine.py:182(_get_positional_score)
 74843364   28.102    0.000   39.011    0.000 board.py:243(_get_board_index)
   973548   13.920    0.000   34.903    0.000 move_strategies.py:192(get_attacker_coordinates)
   206678   12.547    0.000   33.897    0.000 engine.py:161(_get_material_score)
 23832877   20.035    0.000   27.875    0.000 board_utils.py:12(is_coordinate_in_bounds)
 15378280    5.125    0.000   10.658    0.000 {built-in method builtins.isinstance}
    13677    0.973    0.000    9.946    0.001 board.py:215(get_candidate_moves)
   712730    2.151    0.000    9.906    0.000 board.py:94(undo_move)
128399105    9.518    0.000    9.518    0.000 coordinate.py:21(row_index)
  6595184    7.188    0.000    9.507    0.000 engine.py:206(_get_placement_score_middlegame)
  1425464    2.378    0.000    9.438    0.000 board.py:87(make_move)
122286277    8.896    0.000    8.896    0.000 coordinate.py:25(column_index)
   206678    2.046    0.000    7.033    0.000 engine.py:234(_is_in_endgame)
  3563690    1.733    0.000    6.521    0.000 board.py:67(set_piece)
 13257487    2.972    0.000    5.533    0.000 <frozen abc>:117(__instancecheck__)
   486774    1.993    0.000    5.323    0.000 move_strategies.py:287(get_attacker_coordinates)
 54112721    5.288    0.000    5.288    0.000 coordinate.py:2(__init__)
 41552938    4.751    0.000    4.751    0.000 board_utils.py:6(is_index_in_bounds)
